Player,Pos,Seasons,Indct,From,To,AP1,PB,St,G,Cmp,Patt,PYds,PTD,PLng,PInt,Sk,Ratt,Ryds,RTD,RLng,Rec,RcYds,RcTD,RcLng
Charlie Joiner\JoinCh00,WR,17,1996,1969,1986,1,3,16,239,0,1,0,0,0,0,0,8,22,0,9,750,12146,65,87
Lynn Swann\SwanLy00,WR,8,2001,1974,1982,1,3,8,116,,,,,,,,11,72,1,25,336,5462,51,68
John Stallworth\StalJo00,WR,13,2002,1974,1987,1,3,10,165,,,,,,,,9,111,1,47,537,8723,63,74
James Lofton\LoftJa00,WR,15,2003,1978,1993,1,8,14,233,1,5,43,0,43,0,0,32,246,1,83,764,14004,75,80
Michael Irvin\IrviMi00,WR,11,2007,1988,1999,1,5,10,159,,,,,,,,6,6,0,9,750,11904,65,87
Art Monk\MonkAr00,WR,15,2008,1980,1995,1,3,14,224,1,2,46,0,46,0,0,63,332,0,26,940,12721,68,79
Jerry Rice\RiceJe00,WR,19,2010,1985,2004,10,13,18,303,3,10,71,1,41,1,0,87,645,10,43,1549,22895,197,96
Cris Carter\CartCr00,WR,15,2013,1987,2002,2,8,13,234,0,1,0,0,0,0,0,13,41,0,11,1101,13899,130,80
Andre Reed\ReedAn00,WR,15,2014,1985,2000,0,7,14,234,1,1,32,0,32,0,1,75,500,1,46,951,13198,87,83
Tim Brown\BrowTi00,WR,16,2015,1988,2004,0,9,13,255,,,,,,,,50,190,1,19,1094,14934,100,80
Marvin Harrison\HarrMa00,WR,12,2016,1996,2008,3,8,12,190,,,,,,,,10,28,0,15,1102,14580,128,80
Terrell Owens\OwenTe00,WR,14,2018,1996,2010,5,6,13,219,,,,,,,,39,251,3,38,1078,15934,153,98
Randy Moss\MossRa00,WR,14,2018,1998,2012,4,6,12,218,4,8,106,2,37,1,0,25,159,0,25,982,15292,156,82
