Player,Pos,Seasons,Indct,From,To,AP1,PB,St,G,Cmp,Patt,PYds,PTD,PLng,PInt,Sk,Ratt,Ryds,RTD,RLng,Rec,RcYds,RcTD,RcLng
Derrick Brooks\BrooDe00,LB,13,2014,1995,2008,5,11,13,224,,,,,,,,,,,,,,,
Junior Seau\SeauJu00,LB,19,2015,1990,2009,6,12,15,268,,,,,,,,,,,,2,8,0,6
Kevin Greene\GreeKe00,LB,14,2016,1985,1999,2,5,11,228,,,,,,,,,,,,,,,
Brian Urlacher\UrlaBr00,LB,12,2018,2000,2012,4,8,12,182,0,1,0,0,0,0,0,,,,,1,27,1,27
Ray Lewis\LewiRa00,LB,16,2018,1996,2012,7,13,14,228,,,,,,,,,,,,,,,
Robert Brazile\BrazRo00,LB,9,2018,1975,1984,2,7,10,147,,,,,,,,,,,,,,,
Ray Guy\GuyxRa20,P,13,2014,1973,1986,3,7,14,207,2,3,54,0,32,1,1,11,43,0,24,,,,
Sammy Baugh\BaugSa00,QB,15,1963,1937,1952,4,6,13,165,1693,2995,21886,187,86,203,,324,325,9,41,1,0,0,0
Bob Waterfield\WateBo01,QB,7,1965,1945,1952,3,2,6,91,814,1617,11849,97,91,128,,75,21,13,25,3,19,0,18
Sid Luckman\LuckSi00,QB,11,1965,1939,1950,5,3,10,128,904,1744,14686,137,86,132,,204,-239,4,40,1,15,0,15
Otto Graham\GrahOt00,QB,9,1965,1946,1955,7,5,10,126,1464,2626,23584,174,99,135,,405,882,44,36,,,,
Bobby Layne\LaynBo00,QB,14,1967,1948,1962,2,6,13,175,1814,3700,26768,196,97,243,,611,2451,25,36,,,,
Norm Van Brocklin\VanBNo00,QB,11,1971,1949,1960,1,9,9,140,1553,2895,23611,173,91,178,,102,40,11,16,,,,
Y.A. Tittle\TittY.00,QB,16,1971,1948,1964,3,7,13,204,2427,4395,33070,242,80,248,,372,1245,39,45,1,4,0,4
Bart Starr\StarBa00,QB,15,1977,1956,1971,1,4,13,196,1808,3149,24718,152,91,138,59,247,1308,15,39,,,,
Johnny Unitas\UnitJo00,QB,17,1979,1956,1973,5,10,14,211,2830,5186,40239,290,89,253,74,450,1777,13,34,1,1,0,1
George Blanda\BlanGe00,QB,26,1981,1949,1975,1,4,19,340,1911,4007,26920,236,95,277,12,135,344,9,19,1,-16,0,7
Sonny Jurgensen\JurgSo00,QB,17,1983,1957,1974,2,5,10,218,2433,4262,32224,255,99,189,94,181,493,15,33,1,-3,0,0
Roger Staubach\StauRo00,QB,10,1985,1969,1979,0,6,8,131,1685,2958,22700,153,91,109,313,410,2264,20,33,1,-13,0,0
Joe Namath\NamaJo00,QB,12,1985,1965,1977,1,5,9,140,1886,3762,27663,173,91,220,109,71,140,7,39,,,,
Fran Tarkenton\TarkFr00,QB,17,1986,1961,1978,1,9,18,246,3686,6467,47003,342,89,266,274,675,3674,32,52,0,-12,0,0
Len Dawson\DawsLe00,QB,18,1987,1957,1975,2,7,12,211,2136,3741,28711,239,92,183,167,294,1293,9,43,,,,
Terry Bradshaw\BradTe00,QB,13,1989,1970,1983,1,3,13,168,2025,3901,27989,212,90,210,307,444,2257,32,39,0,1,0,1
Bob Griese\GrieBo00,QB,13,1990,1967,1980,2,8,12,161,1926,3429,25092,192,86,172,267,261,994,7,35,,,,
Dan Fouts\FoutDa00,QB,14,1993,1973,1987,2,6,14,181,3297,5604,43040,254,81,242,319,224,476,13,32,1,0,0,0
Joe Montana\MontJo01,QB,15,2000,1979,1994,3,8,12,192,3409,5391,40551,273,96,139,313,457,1676,20,21,,,,
Jim Kelly\KellJi00,QB,10,2002,1986,1996,1,5,11,160,2874,4779,35467,237,84,175,323,304,1049,7,24,2,40,0,35
John Elway\ElwaJo00,QB,15,2004,1983,1998,0,9,16,234,4123,7250,51475,300,86,226,516,774,3407,33,31,3,61,1,24
Steve Young\YounSt00,QB,14,2005,1985,1999,3,7,9,169,2667,4149,33124,232,97,107,358,722,4239,43,49,2,2,0,6
Dan Marino\MariDa00,QB,16,2005,1983,1999,3,9,16,242,4967,8358,61361,420,85,252,270,301,87,9,15,1,-6,0,0
Warren Moon\MoonWa00,QB,16,2006,1984,2000,0,9,15,208,3988,6823,49325,291,87,233,458,543,1736,22,35,,,,
Troy Aikman\AikmTr00,QB,11,2006,1989,2000,0,6,11,165,2898,4715,32942,165,90,141,259,327,1016,9,25,2,-19,0,0
Ken Stabler\StabKe00,QB,14,2016,1970,1984,1,4,11,184,2270,3793,27938,194,88,222,281,118,93,4,18,,,,
Brett Favre\FavrBr00,QB,19,2016,1991,2010,3,11,19,302,6300,10169,71838,508,99,336,525,602,1844,14,40,2,-7,0,2
Kurt Warner\WarnKu00,QB,11,2017,1998,2009,2,4,8,124,2666,4070,32344,208,85,128,260,173,286,3,23,1,0,0,0
Ollie Matson\MatsOl00,RB,14,1972,1952,1966,5,6,9,171,5,15,119,0,43,1,,1170,5173,40,79,222,3285,23,96
Gale Sayers\SayeGa00,RB,6,1977,1965,1971,5,4,5,68,4,18,111,1,39,2,1,991,4956,39,70,112,1307,9,80
O.J. Simpson\SimpO.00,RB,10,1985,1969,1979,5,6,11,135,6,16,110,1,34,0,1,2404,11236,61,94,203,2142,14,64
Larry Csonka\CsonLa00,RB,11,1987,1968,1979,2,5,11,146,,,,,,,,1891,8081,64,54,106,820,4,65
Franco Harris\HarrFr00,RB,12,1990,1972,1984,1,9,12,173,0,1,0,0,0,0,0,2949,12120,91,75,307,2287,9,44
Earl Campbell\CampEa00,RB,7,1991,1978,1985,3,5,7,115,1,3,57,1,57,1,0,2187,9407,74,81,121,806,0,66
John Riggins\RiggJo00,RB,14,1992,1971,1985,1,1,12,175,0,2,0,0,0,0,0,2916,11352,104,66,250,2090,12,67
Walter Payton\PaytWa00,RB,12,1993,1975,1987,5,9,13,190,11,34,331,8,56,6,0,3838,16726,110,76,492,4538,15,75
Leroy Kelly\KellLe00,RB,9,1994,1964,1973,3,6,8,136,3,16,93,2,36,0,1,1727,7274,74,70,190,2281,13,68
Tony Dorsett\DorsTo00,RB,11,1994,1977,1988,1,4,11,173,2,8,41,1,34,1,0,2936,12739,77,99,398,3554,13,91
Eric Dickerson\DickEr00,RB,10,1999,1983,1993,5,6,10,146,1,2,15,1,15,1,1,2996,13259,90,85,281,2137,6,50
Marcus Allen\AlleMa00,RB,15,2003,1982,1997,2,6,12,222,12,27,282,6,47,1,6,3022,12243,123,61,587,5411,21,92
Barry Sanders\SandBa00,RB,9,2004,1989,1998,6,10,10,153,1,4,11,0,11,1,0,3062,15269,99,85,352,2921,10,66
Thurman Thomas\ThomTh00,RB,12,2007,1988,2000,2,5,10,182,0,1,0,0,0,0,1,2877,12074,65,80,472,4458,23,74
Emmitt Smith\SmitEm00,RB,14,2010,1990,2004,4,8,14,226,1,1,21,1,21,0,0,4409,18355,164,75,515,3224,11,86
Floyd Little\LittFl00,RB,8,2010,1967,1975,1,5,9,117,2,9,43,1,35,0,1,1641,6323,43,80,215,2418,9,74
Marshall Faulk\FaulMa00,RB,11,2011,1994,2005,3,7,11,176,0,2,0,0,0,0,0,2836,12279,100,71,767,6875,36,85
Curtis Martin\MartCu00,RB,10,2012,1995,2005,1,5,11,168,2,2,36,2,18,0,1,3518,14101,90,70,484,3329,10,41
